text,category
get readysk force part  part  varavaipomaaaaaa,Negative
omg  use head phones enna bgm da saami ,Positive
petta  uthikum visvasam hit agum,Mixed_feelings
enpt release agalanu kavala illa aurathanamana asuran varuthu adhu pothum,Positive
those vfx nalla illa daaaw guys idhu trailer dhaan maa main picture is coming   maranamass,Mixed_feelings
vera level thala  you r rock,Positive
lokesh kanagaraj movie naalae english rapsong vandurum,Negative
what a trailer ya vera level la irukuyow karthi subburaj pinnida ya awesome awesome,Positive
thalada all india  thala kottai,Positive
indha kalatholo siva karthikeyan nadike mudiyadhu,Mixed_feelings
evano indha video ku dislike button amuka vandhurundha odiru   kolaa kaandu la irukan kollama vida matan,Negative
mujhe kuch samajh sirf vfx tu achh hai hai lekin utna dam nahi jitna zero ka trailer me hai,Mixed_feelings
title card bgm vara level nu soluravuga like pl,Positive
rijini sir nadichirukaru rompa nalaiku piragu sema treatuuuuu,Positive
thala nkp kaga wait panravan like panunga,Mixed_feelings
climax la judge kathiyeh heart attack shethuduvaaraah,Positive
mokka palaya film sayal niraya irukku,Negative
mokka ah irukkum nu confirn pannittenga,Positive
hours m view s  k like s nkp,Positive
thala   you  bgm,Positive
surya thambi karthi poii karthi oda anna tha surya airuchuu,Positive
now you are lying lying lying thala mass,Positive
namaku thevayanathu nammatha adichi vaanganum  masssssssss,Positive
deepawali kala katta pothu bigil kaithi sanga thamizhan,Positive
common thala fans m likes varanum,Positive
yeppo million like aagum nu pakka wait pannittu irruka ,Positive
that bike is a modified duke ,Positive
last dialogue semma   thala tucker doi,Positive
abhay deol,Mixed_feelings
thala veriyans maddum oru like poddu vidunga bro,Positive
starting looks like king liar malayalam movie,Mixed_feelings
good morning guys  kaalaila ezhunthathum trailer paakka vanthavangala like podunga,unknown_state
enna da views ivlo kammiya iruku romba nerama,Positive
dai mokka vetri mara unaku yethrathamanna kathaiyee eduka theriyatha,Mixed_feelings
ethir paartha alavu ila  sadness,Positive
sema thala merattal movie eppo paaka poromnu romba aarvama irukku thala,Positive
ena ipa trending la varuthu thalaivar eh,Positive
karthi annaaaa vera level acting,Negative
national award ah  askar ah  dhanush fanz like,Positive
padam peru sangathamizhan producer yaru na bharathireddy   what an irony,Negative
anirudh bgmmmmmm bang bang bang  petttaaaa paaaraaaaaak,Positive
inga rajini ya pathi mattum comment pannunga nan vijay sethupathika papen aniruthuka papen apdina adichu underwearoda oda vituventhalaivar forever,Positive
viswasam jan  thaane clash aavathu ninaikkiren,unknown_state
trailer la vidya balan missing why,Positive
sangar sangar ra etha movie direct pannala,Mixed_feelings
i think sivakarthickku hero getup set aagala trailer is goodbut movie average pogumnu ninaikiravanga like pannuga,Positive
ajith sir     t h a l a,Positive
arjun sir looking very smart and handsome,Positive
attention thala fans indha padam block buster aaguradhukkuu neega dhaan theater ku poooi thalai ku  periya flexkatout vaikanummm,Positive
 times ku mela pathavanga like podunga,Negative
i am big for illaya super star dhanush,Positive
simran rajinikanth  vijay sethupathi,unknown_state
i phone vs android nu ninaikiren,Positive
trailer la nallathan da irukku padam mokkaiya illama iruntha sari,Positive
innoru  vakkil  rangaraj pandey dhana avaru,Positive
ini jenmathhuku meethane hydrocarbon pathhi nenachi kooda paaka mudiyaadhu corporates ela padamum ini adhapathi daan,unknown_state
thala seekirom theatre ku va thala ennala wait panna mudiyala,Positive
marana mass ungaluku vayasu aanalum andha style apadiye iruku thalaivaaaaaaa,Positive
kamala kalasa en thlaivan dance mass ah,Positive
sakthimaan sollidu thovaikira kallulanthu kila vilunthu adipattavanka like pannuga   thaiyal enaku ,Negative
thala da i love you thala,Positive
super super super  super star,Positive
mmmm  times this video see,Positive
thalaivarea kaalioda aatatha neenga kaatitinga   ini thooku thurai oda alaparaiya naalaiku  ku paapinga,Mixed_feelings
nanga late ahh vandhalum latest ah varuvom,Positive
sema anna lv you karthi anna,Mixed_feelings
how many of you life rajini,unknown_state
waiting for judgement day nerkonda paarvai trailer marana mass thalaaaaaaaa ,Positive
ippo yana pana poram sweet sapada poram love you thalavaaaaaaaaaa,Positive
sethupathi padam pakkum pothu irutha mass scenes niyabagam varudhu,Positive
paaaaaaa more thaaan hollywood range excited to have watch over it,Mixed_feelings
like icon ah terika vidalama thala bloods,Positive
yow songs epo ya viduvinga bgm verra level  thalaforever,Positive
thaka fans ah iru dha like poduga,Positive
thala un rasiganu solla santhsama karvama irukku,Positive
pandey and thala argument  super thala nadakakuduthu,Positive
m views in min        ,Positive
 fulla un thiruvizha tha dhaunsh anna,Positive
yan daa like podrathu easy nu unga ishtathukku ethuku like athuku comment nu podringlaa ethellaam oru polappu,unknown_state
mana thalvair epaime gethuda sema inda pongal,Positive
indias pride  shankar sir  team,Positive
gud morning thala bloodsenna nanba readyaviswasam trailerku senja sambavatha vida sirapaa siyanum,Positive
unga nalla manasuku epayum vettri than thala ungaluku phinix  bird thala nenga vizhamattinga,Negative
 million likes kondu varanum keep share thala bloods,Positive
oru channel la sona marie pana matingala daaa dei,Positive
fight scene kola mass vera level,unknown_state
yuvan       bgm,Positive
m like varathu pola nalaki kuda sethu,Negative
nee nadigan enpadhukaga un rasigar illa nalla manithan,Positive
oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    sema thala,Positive
intha maari movie tamil cinema la vanthathu ila  movie vanthurukum da,Positive
dei yennada marvel maari kondu varinga,Mixed_feelings
not bad any way karthik flop agama iruka              ,Mixed_feelings
waiting thalapathy    lokesh kanagaraj,Positive
trending no thala youtube king thala,Positive
vera levelu thalaivar    always i love thalaivar,Positive
ajith acting matha movie la ellam nalla irunthathubut nerkonda parvai trailer romba mokkaya tha iruku,Mixed_feelings
romba naalaiku apuram oru rajini padam,Positive
sexy shradhaa ava unmeyave virgin ille avala poyi kekera kelveeya adhe,Negative
semma mass chiyan vikram sir  i am waiting,Positive
enga thalastzit parvaila avar gethana kuralila summa kalakuraru pa thala da,Positive
surya vathu mairavathu nethan than thalaiva nadipin arakkan,Negative
naa trailer ah thalaivar kaga pakka varalavj sethu anna kaga than pakka vandhurukken ,Positive
lokesh kanagaraj fans leave a like,Negative
trending la naanga thanada no ,Positive
thala ku aaga dhaan padamae pola,Positive
pariyerum perumal ku award varala but next time indha movie ku kedaikanum,Positive
amaa eppa yenna pannaporomm ahaaaa      sweet sapdaa poroomm,Positive
kaidhi vera lvl trailer idhaa dewali kaidhii dhaa king,Positive
thalaivaaa verithanam apdye chumma therikkavidra,Positive
the end by chiyan  you kena tunggu lebih lama lagi untuk thosai  rocking bh,Positive
love you thala dulquer salmaan fans kerala,Positive
nan thalaivre tralare ra tamies ku mela pathuten i am whating asuran,Mixed_feelings
 k views  k likes,Mixed_feelings
 haters in world chiyaan vikram,Positive
marana maass thalaivaaa i love you sir,Positive
yenga anna yeppov super hero dhan,Positive
bro thalapathy fans kuda nalla irukku nu solranga romba happy ya irukku,Positive
thala and yuvan like ha therika vidungada pasangalabgm vera level ,Positive
trailer pala thadava parthavanga mattum our like,Positive
video pakrathuku munnadiye like pannavanga mattum kai ah thookunga,Positive
k  naraya naraya naraya naraya naraya naraya,Positive
i am waiting vera level trailer i ever seen,Positive
maranam maranam maranam last bgm therikkudhu gv bro vera level,Positive
yevanavathu yuvan bgm pathi pesurangala nu paaru,Mixed_feelings
viswasam teaser ku wait panravan like podu,Mixed_feelings
super star petta pongal  petta paraak,unknown_state
thalaivar  thalaivarr ,Positive
oruthara mela nenga viswasam katrathukagainoruthara yen asinga paduthuringa sema,Positive
mass mass mass mass mass mass mass mass mass mass mass mass,Positive
 bgm vera level gvpvetri maaran no words,Positive
antha padatha vida intha padam nalla irukum poliye,unknown_state
wow nice trailer rajini kant super star,Positive
thalaivaaaaaaaa  days to go thalaivaru tharisanam,Positive
comment pakka vandha nanba nanbigal like pannitu pooga,unknown_state
today trailer paaththu padam paakka wait panravangka like podungka,Positive
adichu under wear oda  oda vitralama,unknown_state
